GENE	sample1	sample2	sample3	GSM1019542	GSM1019543	GSM1019544	GSM1019545	GSM1019546	GSM1019547	GSM1019548	GSM1019549
GeneSymbol1	0.796	1.034	0.752	1.381	0.71	1.064	1.064	1.383	0.778	0.838	1
GeneSymbol2	1	1.004	2.045	1.259	1.024	0.904	0.823	0.992	0.954	0.45	1.231
GeneSymbol3	5.436	1	0.694	1.246	1.697	5.746	0.733	1.03	0.907	0.519	0.986
PAX8	1.109	0.911	1.39	1.417	1.187	0.938	1.404	0.53	0.478	1	0.776
GUCA1A	1	1.008	1.139	1.018	1.046	0.997	0.991	0.992	0.976	1.013	0.982
MIR5193	1.003	0.979	1.014	1.048	1.04	0.866	0.896	2.246	1	0.826	0.98
THRA	1.365	1.108	0.778	1	0.985	0.965	2.252	0.822	1.161	1.189	0.607
PTPN21	0.968	1	1.191	1.037	1.056	0.977	0.956	1.023	0.962	1.018	0.984
CCL5	1.112	2.209	1.038	1	0.56	0.626	3.283	0.584	0.826	0.482	1.194
CYP2E1	0.898	0.942	1.206	0.981	1	1.021	0.919	1.01	1.001	0.956	1.127
EPHB3	0.99	1	1.102	1.011	1.023	0.976	0.99	1.012	0.981	1.008	0.988
ESRRA	1.246	0.854	1.074	1.251	1.331	0.938	0.912	1	0.703	0.593	1.119
CYP2A6	0.989	1	1.117	1.033	1.025	0.997	0.997	1.005	0.975	1.032	0.998
SCARB1	1.1	1.1	1.089	1.339	1	0.496	0.206	0.362	0.163	0.172	1.026
TTLL12	0.984	0.786	1.401	1.356	1.058	0.991	1.565	1	0.563	0.403	1.603
LOC101930489	2.001	1	0.67	1.786	1.016	0.854	0.691	0.551	1	1	0.55
WFDC2	0.988	1.036	1.061	1.133	1	0.97	0.904	1.207	0.884	1.002	0.966
MAPK1	0.413	1.22	1.7	1.48	1.628	0.783	1.098	0.445	1	1	0.861
MAPK1	0.777	1.282	2.295	1.227	1.658	1	0.978	0.537	1.362	0.79	0.809
ADAM32	0.842	0.965	1.33	1.021	1.069	1.4	0.973	0.921	1	1	0.901
SPATA17	0.959	0.967	1.085	1	1	1.001	1.049	1.216	1	1	0.994
