MGI_ID	strainName	strainType
MGI:2160170	101	inbred strain
MGI:2159854	101/H	inbred strain
MGI:4821385	101/H-Tbob/H	coisogenic
MGI:5578612	(101/H x C3H/HeH)F1	Not Applicable
MGI:2162990	101/HY	inbred strain
MGI:3722923	101/HY-Foxn1<nu-Y>	coisogenic
MGI:2669490	101/N	inbred strain
MGI:2160098	101/Orr	inbred strain
MGI:2448768	101/Rl	inbred strain
MGI:2669354	101/RlEp	inbred strain
MGI:5762835	101/Rl-Wf	coisogenic
MGI:2161609	102	inbred strain
MGI:2160648	102/El	inbred strain
MGI:2160798	102/H	inbred strain
MGI:2447489	102/HeEl	inbred strain
MGI:2669491	1194/Ly	inbred strain
MGI:2160041	129	inbred strain
MGI:5615454	129.129P2(B6)-Arfgef3<tm1Hong>	congenic
MGI:5505694	129.129P2(B6)-Rtel1<tm2.1Pml>	congenic
MGI:3819924	129.129P2-Ret<tm1Giro>	congenic
MGI:5506547	129.129S2-Itsn1<Gt(pT1ATGBetageo)1Ruiz>	congenic
MGI:3606190	129.129S6-Hsf1<tm1Ijb>	congenic
MGI:5490030	129-Acaa1b<tm1Vnf>/Orl	coisogenic
MGI:3609408	129-Ache<tm1Loc>/J	congenic
MGI:5424781	129-Acta1<tm1Hrd>/J	coisogenic
MGI:5550557	129-Ago2<Gt(XE344)Byg>/Mmucd	coisogenic
MGI:6144739	129-Ahr<tm1Yfk>/Rbrc	coisogenic
MGI:2164593	129-Alox5<tm1Fun>/J	coisogenic
MGI:4358196	129-Alpl<tm1(cre)Nagy>	Not Specified
MGI:3799479	129-Alpl<tm1(cre)Nagy>/J	coisogenic
MGI:2164629	129-Alpl<tm1Sor>/J	coisogenic
MGI:2162263	129/AoBoyFib	inbred strain
MGI:2164646	129-Asgr2<tm1Her>/J	coisogenic
MGI:5490046	129-Atl1<tm1Jfnk>/Mmnc	coisogenic
MGI:5463811	129-Atm<tm2.1Fwa>/J	coisogenic
MGI:3054560	129-Atp6v0c<tm1Hka>	coisogenic
MGI:4941883	129.B6-Adamts13<s>	congenic
MGI:5320429	129(B6)-Apoe<tm1Bres> Plg<tm1Jld>/CljH[cc]	Not Applicable
MGI:5447559	129(B6)-Arl6<tm2Vcs>/J	Not Applicable
MGI:3691869	129(B6)-Ccni<tm1Jro>/J	Not Applicable
MGI:3789581	129.B6-Cys1<cpk>	congenic
MGI:5696626	129;B6-Dbx1<tm1(cre/ERT2)Jcor>/J	Not Applicable
MGI:5430310	129;B6-Del(10Grin3b-Tmem259)1Zang Tg(Prnp-Tmem259,-EGFP)6Zhang/J	Not Applicable
MGI:4940861	129(B6)-Elf5<tm1Mapr>	Not Applicable
MGI:5568412	129(B6)-Ep300<tm3Pkb>/J	congenic
MGI:5810685	129(B6)-Gpx1<tm1Ysh> Gpx2<tm2Coh>(N5-N10)	Not Applicable
MGI:2177569	129(B6)-Il10<tm1Cgn>/J	Not Applicable
MGI:5445939	129(B6)-Insl5<tm1Imad>	Not Applicable
MGI:5285872	129(B6)-Lcn2<tm1Mrgr>	coisogenic
MGI:5312858	129.B6-Myo7a<sh1-11J>	congenic
MGI:4879968	129(B6)-Nr1h2<tm1Djm>/J	Not Applicable
MGI:5570106	129(B6)-Scn4a<tm1.1Ljh>/Mmmh	Not Applicable
MGI:5320436	129(B6)-Serpine1<tm1Mlg> Apoe<tm1Bres>/CljH[cc]	Not Applicable
MGI:3588749	129.B6-Ses1a<C57BL/6J>	congenic
MGI:3588750	129.B6-Ses1b<C57BL/6J>	congenic
MGI:5522848	129(B6)-Tgm2<tm1.1Rmgr>	Not Applicable
MGI:5430313	129;B6-Tg(Prnp-Tmem259,-EGFP)6Zhang/J	Not Applicable
MGI:6121762	129(B6)-Thy1<tm1Rjmo>/H	Not Applicable
MGI:6144762	129(B6)-Zfp318<tm1Hhag>/Rbrc	Not Specified
MGI:4360318	129-Bcar3<tm1Lern>	Not Specified
MGI:3761643	129-Bcl11a<tm1Ngc>/Rbrc	coisogenic
MGI:6144847	129-Blm<tm1Khor>/KhorRbrc	coisogenic
MGI:3699356	129-Braf<tm1Sva>/J	coisogenic
MGI:2177786	129-Brca1<tm2Arge>	coisogenic
MGI:3699151	129-Cckar<tm1Kpn> Cckbr<tm1Kpn>/J	congenic
MGI:3699157	129-Cckar<tm1Kpn>/J	coisogenic
MGI:3699158	129-Cckbr<tm1Kpn>/J	coisogenic
MGI:4940541	129-Ccr1<tm1Cge>/Apb	coisogenic
MGI:2161523	129-Cd5<tm1Cgn>/J	coisogenic
MGI:2164596	129-Cdkn1b<tm1Mlf>/J	coisogenic
MGI:6122309	129(C)-Eif2ak2<tm1Jcbe>/Cnbc	coisogenic
MGI:5563536	129(Cg)-Atoh7<tm1.1(Ascl1)Nlbr>	congenic
MGI:5572952	129.Cg(B6)-Whrn<wi>	congenic
MGI:6147302	129.Cg-Braf<tm1Tumg>	congenic
MGI:5904836	129(Cg)-Clcn7<tm2.1Mjec>	congenic
MGI:5296810	129.Cg-Ddc<tm1.1Rhrs> Tg(Ggt1-cre)M3Egn	congenic
MGI:5286074	129.Cg-Esrrg<tm1Rev>	congenic
MGI:3579854	129.Cg-Foxp3<sf>/H	congenic
