MalaCard_ID,MalaCard_Name,DO_ID,OMIM_ID
ATH013,Atherosclerosis Susceptibility,,
ART004,Aortic Atherosclerosis,,
GNR003,Generalized Atherosclerosis,,
CRB008,Cerebral Atherosclerosis,,
RNL008,Renal Artery Atheroma,,
ATH012,"Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease",,
FGN001,Feigenbaum Bergeron Richardson Syndrome,,
ART021,Arteriosclerosis,,
ART140,"Arteries, Anomalies of",,
CRN018,Coronary Artery Anomaly,,
CRN300,Coronary Heart Disease 1,,
END072,Endotheliitis,,
VSC007,Vascular Disease,,
HRT032,Heart Disease,,
CRB009,Cerebritis,,
ISC006,Ischemic Heart Disease,,
ISC004,Ischemia,,
AGN016,Aging,,
MYC007,Myocardial Infarction,,
HYP805,"Hypercholesterolemia, Autosomal Dominant, 3",,
DBT009,Diabetes Mellitus,,
CRB039,Cerebrovascular Disease,,
BDY004,Body Mass Index Quantitative Trait Locus 11,,
BDY005,Body Mass Index Quantitative Trait Locus 9,,
BDY019,Body Mass Index Quantitative Trait Locus 18,,
BDY017,Body Mass Index Quantitative Trait Locus 14,,
BDY015,Body Mass Index Quantitative Trait Locus 12,,
BDY010,Body Mass Index Quantitative Trait Locus 4,,
BDY011,Body Mass Index Quantitative Trait Locus 10,,
BDY006,Body Mass Index Quantitative Trait Locus 8,,
BDY012,Body Mass Index Quantitative Trait Locus 7,,
HYP607,"Hypercholesterolemia, Familial",,
ART022,Arthritis,,
BLD140,"Blood Group, I System",,
CRT016,Carotid Artery Disease,,
THR024,Thrombosis,,
LPS004,Lupus Erythematosus,,
RHM011,Rheumatoid Arthritis,,
SYS001,Systemic Lupus Erythematosus,,
HPT021,Hepatitis,,
ANR040,Aneurysm,,
KDN018,Kidney Disease,,
PRP080,Peripheral Artery Disease,,
CMP080,"Complement Hyperactivation, Angiopathic Thrombosis, and Protein-Losing Enteropathy",,
ANG054,Angina Pectoris,,
PRD008,Periodontitis,,
DBT026,"Diabetes Mellitus, Noninsulin-Dependent",,
CHR089,Chronic Kidney Failure,,
STR067,"Stroke, Ischemic",,
ATR011,Atrial Fibrillation,,
URM002,Uremia,,
ACT075,Acute Myocardial Infarction,,
PRP027,Peripheral Vascular Disease,,
CHL123,Chlamydia,,
ALP042,"Alpha/beta T-Cell Lymphopenia with Gamma/delta T-Cell Expansion, Severe Cytomegalovirus Infection, and Autoimmunity",,
HMZ003,Homozygous Familial Hypercholesterolemia,,
OCL033,Oculocerebral Syndrome with Hypopigmentation,,
ATM095,Autoimmune Disease,,
