geneID_human	geneID_mouse	humanMouseConnection	diseaseName	DO_ID	OMIM_ID	mouseStrain	mouseMGI_ID	mouseMP_ID	MPnames
1	A1BG	A1bg	n					MGI:2152878		
2	A1CF	A1cf	n				A1cf<Tg(Myh6-cre/Esr1*)1Jmk>,A1cf<tm1a(EUCOMM)Hmgu>,A1cf<tm1b(EUCOMM)Hmgu>,A1cf<tm1Ddsn>	MGI:1917115	MP:0005387 MP:0005386 MP:0005388 MP:0005385 MP:0002873 MP:0010768 MP:0005369 MP:0005376 MP:0005384 MP:0005378	normal phenotype,muscle phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,cellular phenotype,cardiovascular system phenotype,behavior/neurological phenotype,immune system phenotype,respiratory system phenotype,mortality/aging
3	A2M	A2m	n				A2m<tm1a(NCOM)Mfgc>,A2m<tm1b(NCOM)Mfgc>	MGI:2449119		
4	A3GALT2	A3galt2	n				A3galt2<tm1.1Hjg>	MGI:2685279		
5	A4GALT	A4galt	n				A4galt<tm1.1Poru>,A4galt<tm1a(EUCOMM)Hmgu>,A4galt<tm1b(EUCOMM)Hmgu>,A4galt<tm1(EGFP/cre/ERT2)Wtsi>,A4galt<tm1Kfk>	MGI:3512453	MP:0005386 MP:0010768 MP:0005376	homeostasis/metabolism phenotype,behavior/neurological phenotype,mortality/aging
6	A4GNT	A4gnt	n				A4gnt<tm1Jnaka>	MGI:2143261	MP:0005384 MP:0002006 MP:0005385 MP:0005381 MP:0005387	neoplasm,digestive/alimentary phenotype,cellular phenotype,cardiovascular system phenotype,immune system phenotype
7	AAAS	Aaas	n				Aaas<tm1Ahue>	MGI:2443767	MP:0005389 MP:0005386 MP:0005378	growth/size/body region phenotype,behavior/neurological phenotype,reproductive system phenotype
8	AACS	Aacs	n				Aacs<em1(IMPC)J>	MGI:1926144		
9	AADAC	Aadac	n				Aadac<em1(IMPC)Mbp>	MGI:1915008		
10	AADACL2	Aadacl2	n					MGI:3646333		
11	AADACL3	Aadacl3	n					MGI:2685281		
12	AADACL4	Aadacl4	n					MGI:3650257		
13	AADAT	Aadat	n				Aadat<tm1Tag>	MGI:1345167	MP:0005386 MP:0003631 MP:0005391	nervous system phenotype,behavior/neurological phenotype,vision/eye phenotype
14	AAED1	Aaed1	n					MGI:1913379		
15	AAGAB	Aagab	n					MGI:1914189		
16	AAK1	Aak1	n				Aak1<tm1a(EUCOMM)Hmgu>,Aak1<tm1b(EUCOMM)Hmgu>	MGI:1098687	MP:0005377	hearing/vestibular/ear phenotype
17	AAMDC	Aamdc	n					MGI:1913523		
18	AAMP	Aamp	n					MGI:107809		
19	AANAT	Aanat	n				Aanat<C57BL/6J>,Aanat<em1(IMPC)Kmpc>,Aanat<em1Krb>	MGI:1328365	MP:0005379 MP:0003631	nervous system phenotype,endocrine/exocrine gland phenotype
20	AAR2	Aar2	n					MGI:1915545		
21	AARD	Aard	n				Aard<tm1.1(KOMP)Vlcg>,Aard<tm1(KOMP)Vlcg>	MGI:2181621		
22	AARS	Aars	n				Aars<sti>,Aars<tm1.1Slac>,Aars<tm1Slac>	MGI:2384560	MP:0005384 MP:0005369 MP:0005378 MP:0010771 MP:0003631 MP:0005385 MP:0010768 MP:0005386	nervous system phenotype,muscle phenotype,growth/size/body region phenotype,cellular phenotype,cardiovascular system phenotype,behavior/neurological phenotype,mortality/aging,integument phenotype
23	AARS2	Aars2	n				Aars2<tm1(KOMP)Wtsi>	MGI:2681839	MP:0010768 MP:0005385	cardiovascular system phenotype,mortality/aging
24	AARSD1	Aarsd1	n					MGI:1916934		
25	AASDH	Aasdh	n				Aasdh<Gt(OST345126)Lex>	MGI:2442517		
26	AASDHPPT	Aasdhppt	n				Aasdhppt<tm1.1(KOMP)Vlcg>,Aasdhppt<tm1(KOMP)Vlcg>	MGI:1914868		
27	AASS	Aass	n				Aass<em1(IMPC)Tcp>	MGI:1353573		
28	AATF	Aatf	n				Aatf<Gt(pGT1.8geo)3Pgr>	MGI:1929608	MP:0005378 MP:0005384 MP:0005380 MP:0010768	growth/size/body region phenotype,embryo phenotype,cellular phenotype,mortality/aging
29	AATK	Aatk	n				Aatk<tm1Shhi>	MGI:1197518	MP:0003631	nervous system phenotype
30	ABAT	Abat	n				Abat<tm1a(EUCOMM)Hmgu>	MGI:2443582		
31	ABCA1	Abca1	y	Tangier disease	DOID:1388	OMIM:205400	Abca1<m4620Dajl>,Abca1<mpc227H>,Abca1<tm1.1Jp>,Abca1<tm1a(EUCOMM)Hmgu>,Abca1<tm1b(EUCOMM)Hmgu>,Abca1<tm1Blt>,Abca1<tm1Jdm>,Abca1<tm1Jp>,Abca1<tm1Wpfl>,Abca1<tm2Jp>	MGI:99607	MP:0005381 MP:0003631 MP:0005391 MP:0005387 MP:0005390 MP:0005367 MP:0005380 MP:0005370 MP:0005388 MP:0005385 MP:0005397 MP:0005389 MP:0010768 MP:0001186 MP:0005379 MP:0005369 MP:0005376 MP:0005384 MP:0005378	pigmentation phenotype,nervous system phenotype,renal/urinary system phenotype,muscle phenotype,liver/biliary system phenotype,homeostasis/metabolism phenotype,growth/size/body region phenotype,endocrine/exocrine gland phenotype,embryo phenotype,digestive/alimentary phenotype,cellular phenotype,cardiovascular system phenotype,immune system phenotype,respiratory system phenotype,reproductive system phenotype,skeleton phenotype,vision/eye phenotype,hematopoietic system phenotype,mortality/aging
32	ABCA12	Abca12	y	autosomal recessive congenital ichthyosis 4B	DOID:0060713	OMIM:242500	Abca12<el12>,Abca12<K416Bei>,Abca12<tm1Lex>,Abca12<tm1Shzu>	MGI:2676312	MP:0005382 MP:0005376 MP:0005384 MP:0005385 MP:0005378 MP:0010768 MP:0010771 MP:0005388 MP:0005386	homeostasis/metabolism phenotype,growth/size/body region phenotype,craniofacial phenotype,cellular phenotype,cardiovascular system phenotype,behavior/neurological phenotype,respiratory system phenotype,mortality/aging,integument phenotype
33	ABCA13	Abca13	n				Abca13<tm1a(EUCOMM)Wtsi>,Abca13<tm1b(EUCOMM)Wtsi>,Abca13<tm1Lex>	MGI:2388707	MP:0005376 MP:0005389 MP:0005386	homeostasis/metabolism phenotype,behavior/neurological phenotype,reproductive system phenotype
34	ABCA17P	Abca17	n				Abca17<tm1a(EUCOMM)Wtsi>,Abca17<tm1b(EUCOMM)Wtsi>	MGI:3625331		
